0	1	1
0	5	3
0	14	1
0	19	1
1	5	5
1	7	3
1	14	5
1	15	11
1	17	1
1	20	1
1	21	1
2	3	1
2	4	1
2	14	5
2	15	3
2	20	2
2	25	1
2	29	2
2	33	1
3	5	4
3	14	5
3	15	5
3	17	1
3	21	1
3	25	1
3	29	1
3	37	1
4	1	2
4	5	15
4	7	2
4	14	4
4	15	1
4	20	3
4	21	7
4	25	4
4	26	1
4	29	1
4	33	3
4	37	1
5	1	11
5	2	2
5	3	10
5	4	24
5	6	2
5	7	59
5	8	6
5	9	1
5	10	1
5	11	12
5	13	2
5	14	98
5	15	92
5	17	5
5	19	2
5	20	47
5	21	83
5	25	90
5	26	1
5	27	2
5	29	3
5	31	2
5	33	11
5	35	1
5	36	1
5	37	26
5	39	2
6	1	1
6	5	11
6	7	1
6	11	1
6	13	1
6	14	16
6	15	9
6	17	1
6	19	1
6	20	5
6	21	3
6	25	2
6	27	1
6	33	2
6	37	5
6	39	1
7	4	1
7	5	10
7	6	1
7	8	1
7	10	4
7	11	1
7	14	24
7	15	24
7	16	1
7	17	1
7	20	9
7	21	16
7	25	1
7	26	1
7	31	1
7	33	4
7	37	2
8	1	3
8	5	3
8	7	1
8	14	13
8	15	15
8	17	2
8	20	10
8	21	51
8	25	1
8	29	1
8	33	2
9	15	1
9	21	1
9	29	1
9	37	1
10	1	2
10	4	1
10	5	8
10	7	11
10	11	1
10	14	5
10	15	7
10	17	1
10	19	1
10	20	1
10	21	1
10	27	1
10	33	2
11	1	1
11	3	2
11	5	25
11	7	7
11	8	1
11	13	1
11	14	53
11	15	25
11	17	1
11	20	10
11	21	18
11	25	8
11	26	1
11	27	1
11	33	7
11	36	1
11	37	8
11	38	1
11	39	3
13	1	1
13	3	2
13	5	20
13	6	1
13	7	4
13	11	1
13	14	17
13	15	3
13	17	3
13	20	5
13	21	2
13	25	4
13	26	1
13	27	1
13	29	1
13	31	1
13	33	4
13	38	1
14	1	7
14	3	8
14	4	4
14	5	87
14	7	52
14	8	11
14	9	2
14	10	3
14	11	4
14	15	59
14	16	1
14	17	7
14	20	64
14	21	111
14	25	27
14	26	1
14	27	1
14	28	1
14	29	3
14	31	5
14	33	10
14	34	1
14	36	2
14	37	4
14	39	1
15	1	12
15	2	2
15	3	5
15	4	7
15	5	86
15	6	9
15	7	95
15	8	12
15	9	1
15	10	5
15	11	14
15	13	1
15	14	114
15	17	23
15	19	1
15	20	65
15	21	143
15	25	62
15	26	1
15	27	1
15	28	1
15	29	5
15	31	24
15	32	2
15	33	15
15	34	2
15	35	1
15	36	4
15	37	32
15	39	2
15	40	5
16	11	1
17	3	4
17	4	2
17	5	10
17	7	6
17	8	3
17	11	1
17	14	36
17	15	13
17	20	13
17	21	15
17	25	4
17	29	1
17	31	2
17	33	2
18	33	1
19	15	4
19	21	1
20	1	3
20	2	1
20	3	8
20	4	4
20	5	91
20	6	3
20	7	56
20	8	8
20	9	1
20	11	6
20	13	2
20	14	147
20	15	78
20	17	9
20	21	121
20	25	93
20	26	1
20	27	3
20	29	8
20	31	4
20	33	14
20	34	2
20	37	19
20	39	2
20	40	4
21	1	5
21	3	4
21	4	4
21	5	43
21	7	64
21	8	7
21	10	2
21	11	4
21	14	97
21	15	63
21	16	1
21	17	7
21	20	48
21	25	31
21	26	1
21	27	1
21	29	1
21	31	11
21	33	10
21	34	1
21	37	3
21	38	1
21	39	1
21	40	1
22	7	1
23	1	1
23	14	1
23	25	1
23	37	1
24	25	1
24	37	1
25	1	1
25	2	1
25	3	8
25	4	5
25	5	82
25	6	1
25	7	7
25	8	6
25	11	11
25	13	1
25	14	104
25	15	61
25	17	4
25	20	46
25	21	111
25	23	2
25	26	1
25	27	4
25	28	1
25	29	1
25	31	3
25	33	3
25	36	1
25	37	6
25	39	3
26	15	1
26	21	3
26	25	2
27	20	1
27	21	1
27	25	20
27	31	3
28	14	1
29	9	2
29	14	2
29	15	1
29	20	1
30	27	1
31	1	3
31	5	9
31	7	3
31	8	5
31	11	1
31	14	25
31	15	6
31	20	1
31	21	22
31	25	3
31	27	2
31	29	1
32	14	1
32	15	3
33	3	1
33	5	8
33	6	1
33	7	8
33	10	1
33	14	12
33	15	6
33	17	1
33	20	4
33	21	7
33	25	4
33	29	1
34	14	2
34	37	1
35	1	1
35	4	1
35	5	2
35	7	1
35	25	6
36	5	1
36	11	1
36	14	6
36	15	5
36	20	1
36	25	1
37	1	1
37	4	1
37	5	7
37	7	3
37	15	2
37	20	1
37	23	1
37	25	5
37	33	1
38	15	2
39	3	2
39	5	2
39	7	2
39	14	19
39	15	3
39	17	1
39	20	6
39	21	3
39	29	2
39	40	1
40	14	2
40	15	1
40	31	1
