0	2	1
0	15	1
0	29	2
1	0	1
1	2	28
1	3	2
1	5	7
1	7	1
1	8	2
1	10	1
1	14	13
1	15	55
1	17	9
1	18	1
1	20	36
1	21	2
1	23	5
1	27	15
1	29	46
1	32	19
1	33	2
1	35	4
1	37	2
1	38	2
2	0	1
2	1	30
2	3	1
2	5	2
2	8	1
2	10	4
2	11	1
2	12	6
2	14	34
2	15	32
2	16	2
2	17	10
2	18	8
2	20	41
2	21	6
2	23	2
2	27	3
2	28	2
2	29	39
2	31	1
2	32	18
2	33	1
2	35	5
3	12	2
3	15	7
3	17	1
3	29	1
5	1	3
5	2	2
5	15	1
5	20	4
5	29	1
5	35	1
8	1	2
8	2	3
8	5	1
8	14	1
8	17	2
8	20	1
8	29	2
9	10	1
9	15	1
9	32	1
10	1	1
10	2	4
10	20	1
11	20	1
12	1	5
12	2	2
12	3	2
12	10	1
12	14	1
12	15	1
12	18	2
12	20	8
12	29	14
13	3	1
13	8	1
13	10	1
13	14	3
14	0	1
14	1	2
14	2	5
14	15	1
14	20	7
14	29	6
14	32	2
15	0	1
15	1	65
15	2	43
15	3	4
15	5	6
15	7	1
15	8	1
15	9	2
15	11	1
15	12	1
15	14	7
15	16	1
15	17	19
15	18	6
15	19	1
15	20	82
15	21	1
15	23	11
15	27	5
15	29	66
15	32	6
15	33	2
15	35	2
15	37	1
15	38	1
16	2	1
16	20	4
17	0	1
17	1	22
17	2	18
17	3	3
17	5	3
17	7	1
17	8	5
17	10	1
17	12	2
17	14	9
17	15	17
17	18	4
17	20	47
17	23	1
17	27	1
17	29	19
17	32	5
17	33	1
17	35	6
18	2	7
18	14	1
18	20	4
18	29	8
18	35	1
19	0	1
19	1	8
19	2	2
19	3	1
19	5	2
19	8	2
19	14	2
19	15	4
19	20	5
19	29	1
19	35	2
20	0	1
20	1	21
20	2	17
20	3	1
20	5	5
20	7	1
20	8	3
20	10	1
20	11	1
20	14	12
20	15	15
20	16	1
20	17	5
20	18	6
20	27	2
20	29	29
20	32	4
20	33	1
20	35	2
21	1	3
21	2	6
21	3	1
21	10	1
21	14	1
21	15	2
21	17	2
21	20	9
21	23	1
21	29	3
21	32	3
22	1	1
22	15	5
23	0	1
23	1	12
23	2	12
23	3	1
23	8	2
23	14	5
23	15	6
23	17	3
23	18	1
23	19	1
23	20	32
23	29	9
23	32	7
23	33	2
24	20	1
26	3	1
27	0	1
27	1	8
27	15	4
27	17	2
27	20	4
27	29	5
29	0	1
29	1	9
29	2	15
29	3	1
29	5	3
29	7	1
29	8	2
29	12	4
29	14	14
29	15	21
29	17	4
29	18	2
29	20	24
29	23	1
29	27	4
29	32	2
29	35	3
30	20	2
31	2	1
31	12	1
32	1	7
32	2	1
32	9	1
32	10	1
32	14	1
32	15	5
32	17	1
33	1	2
33	2	2
33	14	2
33	17	2
33	20	9
33	35	1
35	1	1
35	2	4
35	5	4
35	14	1
35	15	3
35	20	13
35	27	2
35	29	8
37	20	3
38	2	1
